Hidráulica:
FECHA: 1/2021	4057.346680 Gwh
FECHA: 2/2021	4517.602539 Gwh
FECHA: 3/2021	3715.416016 Gwh
FECHA: 4/2021	2745.019043 Gwh
FECHA: 5/2021	2159.483154 Gwh
FECHA: 6/2021	2182.252441 Gwh
FECHA: 7/2021	2209.464600 Gwh
FECHA: 8/2021	1883.260742 Gwh
FECHA: 9/2021	1396.698853 Gwh
FECHA: 10/2021	1023.215454 Gwh
FECHA: 11/2021	1199.445557 Gwh
FECHA: 12/2021	2536.803711 Gwh
FECHA: 1/2022	2085.857422 Gwh
FECHA: 2/2022	1174.970215 Gwh
FECHA: 3/2022	1764.806152 Gwh
FECHA: 4/2022	1782.053833 Gwh
FECHA: 5/2022	1922.302368 Gwh
FECHA: 6/2022	1190.985474 Gwh
FECHA: 7/2022	1043.519043 Gwh
FECHA: 8/2022	972.977722 Gwh
FECHA: 9/2022	1153.775635 Gwh
FECHA: 10/2022	717.702393 Gwh
FECHA: 11/2022	1309.281372 Gwh
